CETIP,Categoria,Tipo,Especie,DataReferencia,Status,Evento_Identificado,Classificacao,Peso,Resumo
CRA024006Y1,Relatórios,Relatório de Agência de Rating,,12/22/2025,Ativo,Rebaixamento de Rating de Agência de Risco,Negativo,-1,"Trata-se de um Comunicado ao Mercado. Resumo:  S&P rebaixou ratings de CRAs da EcoAgro de 'brAAA (sf)' para 'brAA (sf)' devido à aquisição da Profertil pela Adecoagro, que elevou significativamente sua alavancagem."
CRA0190066O,Relatórios,Relatório de Agência de Rating,,12/22/2025,Ativo,Rebaixamento de Rating de Agência de Risco,Negativo,-1,Comunicado ao Mercado: S&P rebaixou ratings de CRAs da EcoAgro de 'brAAA (sf)' para 'brAA (sf)' devido à aquisição da Profertil e aumento da alavancagem da Adecoagro.
24K2690249,Aditamento de Termo de Securitização,,,11/17/2025,Ativo,Aditamento com repactuação do fluxo de pagamento,Negativo,-1,"Aditamento: Correção da data de encerramento do Patrimônio Separado para 31 de dezembro de 2025, ajustando o primeiro encerramento conforme determinação legal, sem alterações no fluxo de pagamentos ou garantias."
24K1488063,Aditamento de Termo de Securitização,,,11/4/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Correção da data de encerramento do Patrimônio Separado para 31 de dezembro de 2025, ajustando o prazo mínimo de 12 meses conforme determina a Lei das S.A."
22D0059915,Fato Relevante,,,1/7/2026,Ativo,Não Identificado,Neutro,0,"Comunicado ao Mercado: Securitizadora identificou irregularidades na gestão de recursos pela Devedora, que não repassou valores ao patrimônio separado dentro do prazo de cura estabelecido na CCB."
CRA02200AND,Fato Relevante,,,1/7/2026,Ativo,Waiver de Não Pagamento de Juros/Amortização,Negativo,-1,"Comunicado ao Mercado: Securitizadora informa inadimplência da Devedora no pagamento de Juros Remuneratórios da CPR-F em 22/12/2025, impossibilitando o pagamento dos Juros Remuneratórios do CRA em 24/12/2025."
21F1007974,Assembleia,AGE,Sumário das Decisões,1/7/2025,Ativo,Waiver para não declarar vencimento antecipado,Negativo,-1,"Assembleia: Suspensão da deliberação sobre vencimento antecipado das Notas Comerciais e CRI, com reabertura marcada para 14/01/2026, mantendo as garantias e sem alterações no fluxo de pagamentos."
21C0093883,Assembleia,AGE,Sumário das Decisões,1/8/2026,Ativo,Não Identificado,Neutro,0,"Desculpe, mas não há conteúdo no documento fornecido para que eu possa gerar um resumo. O documento PDF parece estar vazio ou não foi corretamente carregado. Sem o texto original, não posso criar um resumo conforme as instruções."
22J0120088,Assembleia,AGE,Edital de Convocação,1/29/2026,Ativo,Waiver para não declarar vencimento antecipado,Negativo,-1,"Assembleia: Convocação para 29/01/2026 com pautas: (i) não declaração de vencimento antecipado, (ii) abertura de novas contas vinculadas, e (iii) autorização para contratação de assessor legal para aditamentos."
21F1007974,Assembleia,AGE,Edital de Convocação,1/28/2026,Ativo,Waiver para não declarar vencimento antecipado,Negativo,-1,"Assembleia: Convocação para assembleia em 28/01/2026 com 21 pautas, incluindo vencimento antecipado de notas comerciais, alteração de garantias, emissão de nova série de CRI e contratação de prestadores de serviço."
21C0144818,Assembleia,AGE,Sumário das Decisões,1/8/2026,Ativo,Não Identificado,Neutro,0,"Desculpe, mas não há conteúdo no documento fornecido para que eu possa gerar um resumo. O documento PDF parece estar vazio ou não foi corretamente carregado. Sem o texto original, não posso criar um resumo conforme as instruções."
24K3211803,Assembleia,AGE,Edital de Convocação,1/28/2026,Ativo,Não Identificado,Neutro,0,"Assembleia: Convocação para 28/01/2026 com 10 pautas, incluindo: suspensão de recompra obrigatória, ratificação de pagamentos, dispensa de repasses, ampliação de escopo de servicer e prazos adicionais para regularizações."
